Coffee,Taste Score
Chemex,3
Pour Over,3
Starbucks,0
Tammy,5
French Press,4
Miele,4
Chemex,3
Pour Over,4
Starbucks,1
Tammy,4
French Press,3
Miele,3
Starbucks,0
French Press,3
Tammy,4
Chemex,3
Pour Over,4.5
Miele,4
Starbucks,1
French Press,3
Tammy,4
Chemex,3
Pour Over,4
Miele,4
Starbucks,1
French Press,3
Tammy,2
Chemex,3
Pour Over,4
Miele,4
Starbucks,3
French Press,2
Tammy,2
Chemex,3
Pour Over,2
Miele,3
Starbucks,1
French Press,2
Tammy,4
Chemex,2
Pour Over,4
Miele,4
Tammy,3
French Press,1
Miele,2
Chemex,4
Starbucks,4
Pour Over,3
Tammy,2
French Press,1
Miele,3
Chemex,1
Starbucks,2
Pour Over,4
Tammy,2
French Press,2
Miele,5
Chemex,3
Starbucks,1
Pour Over,1
Tammy,4
French Press,4
Miele,4
Chemex,1
Starbucks,0
Pour Over,5
